"","Latitude","Longitude","County","Hour","Season","Pollutant","Sample"
"171",32.579361,-116.929486,"San Diego","21",4,"NO2",0.157272727272727
"172",32.579361,-116.929486,"San Diego","21",4,"Ozone",0.346428571428571
"173",32.579361,-116.929486,"San Diego","22",1,"NO2",0.117802197802198
"174",32.579361,-116.929486,"San Diego","22",1,"Ozone",0.397959183673469
"175",32.579361,-116.929486,"San Diego","22",2,"NO2",0.0504395604395604
"176",32.579361,-116.929486,"San Diego","22",2,"Ozone",0.46828885400314
"177",32.579361,-116.929486,"San Diego","22",3,"NO2",0.0490217391304348
"178",32.579361,-116.929486,"San Diego","22",3,"Ozone",0.381832298136646
"179",32.579361,-116.929486,"San Diego","22",4,"NO2",0.153295454545455
"180",32.579361,-116.929486,"San Diego","22",4,"Ozone",0.343167701863354
"181",32.579361,-116.929486,"San Diego","23",1,"NO2",0.116043956043956
"182",32.579361,-116.929486,"San Diego","23",1,"Ozone",0.38414442700157
"183",32.579361,-116.929486,"San Diego","23",2,"NO2",0.0491208791208791
"184",32.579361,-116.929486,"San Diego","23",2,"Ozone",0.455886970172684
"185",32.579361,-116.929486,"San Diego","23",3,"NO2",0.0531521739130435
"186",32.579361,-116.929486,"San Diego","23",3,"Ozone",0.365527950310559
"187",32.579361,-116.929486,"San Diego","23",4,"NO2",0.140454545454545
"188",32.579361,-116.929486,"San Diego","23",4,"Ozone",0.342857142857143
"189",32.631231,-117.059075,"San Diego","00",1,"NO2",0.15
"190",32.631231,-117.059075,"San Diego","00",1,"Ozone",0.241287284144427
"191",32.631231,-117.059075,"San Diego","00",2,"NO2",0.0710989010989011
"192",32.631231,-117.059075,"San Diego","00",2,"Ozone",0.376923076923077
"193",32.631231,-117.059075,"San Diego","00",3,"NO2",0.056195652173913
"194",32.631231,-117.059075,"San Diego","00",3,"Ozone",0.357142857142857
"195",32.631231,-117.059075,"San Diego","00",4,"NO2",0.150108695652174
"196",32.631231,-117.059075,"San Diego","00",4,"Ozone",0.217857142857143
"197",32.631231,-117.059075,"San Diego","01",1,"NO2",0.130425531914894
"198",32.631231,-117.059075,"San Diego","01",1,"Ozone",0.23951367781155
"199",32.631231,-117.059075,"San Diego","01",2,"NO2",0.0586666666666667
"200",32.631231,-117.059075,"San Diego","01",2,"Ozone",0.395555555555555
"201",32.631231,-117.059075,"San Diego","01",3,"NO2",0.0564150943396226
"202",32.631231,-117.059075,"San Diego","01",3,"Ozone",0.3455525606469
"203",32.631231,-117.059075,"San Diego","01",4,"NO2",0.130888888888889
