"","Latitude","Longitude","County","Season","Pollutant","Sample"
"402",34.067802,-117.526711,"San Bernardino",4,"CO",0.0138095238095238
"403",34.067802,-117.526711,"San Bernardino",4,"NO2",0.30960728929385
"404",34.06957,-116.38893,"San Bernardino",1,"Ozone",0.632779726063654
"405",34.06957,-116.38893,"San Bernardino",2,"Ozone",0.787925798785318
"406",34.06957,-116.38893,"San Bernardino",3,"Ozone",0.788861434423564
"407",34.06957,-116.38893,"San Bernardino",4,"Ozone",0.627496723460026
"408",34.10002,-117.49201,"San Bernardino",1,"CO",0.00721683545212957
"409",34.10002,-117.49201,"San Bernardino",1,"NO2",0.201708860759494
"410",34.10002,-117.49201,"San Bernardino",1,"Ozone",0.338185478272942
"411",34.10002,-117.49201,"San Bernardino",1,"SO2",0.00468190854870775
"412",34.10002,-117.49201,"San Bernardino",2,"CO",0.00496496791798805
"413",34.10002,-117.49201,"San Bernardino",2,"NO2",0.132900258397933
"414",34.10002,-117.49201,"San Bernardino",2,"Ozone",0.498510214617597
"415",34.10002,-117.49201,"San Bernardino",2,"SO2",0.0040293501048218
"416",34.10002,-117.49201,"San Bernardino",3,"CO",0.0035130002921414
"417",34.10002,-117.49201,"San Bernardino",3,"NO2",0.18274513618677
"418",34.10002,-117.49201,"San Bernardino",3,"Ozone",0.498119753000763
"419",34.10002,-117.49201,"San Bernardino",3,"SO2",0.00600394088669951
"420",34.10002,-117.49201,"San Bernardino",4,"CO",0.00803917394081329
"421",34.10002,-117.49201,"San Bernardino",4,"NO2",0.207916666666667
"422",34.10002,-117.49201,"San Bernardino",4,"Ozone",0.274252336448598
"423",34.10002,-117.49201,"San Bernardino",4,"SO2",0.00553333333333333
"424",34.10374,-117.62914,"San Bernardino",1,"CO",0.0136473258618244
"425",34.10374,-117.62914,"San Bernardino",1,"NO2",0.202039303482587
"426",34.10374,-117.62914,"San Bernardino",1,"Ozone",0.358674989360193
"427",34.10374,-117.62914,"San Bernardino",2,"CO",0.0086344432509846
"428",34.10374,-117.62914,"San Bernardino",2,"NO2",0.113763909774436
"429",34.10374,-117.62914,"San Bernardino",2,"Ozone",0.583989407386201
"430",34.10374,-117.62914,"San Bernardino",3,"CO",0.0176689599352489
"431",34.10374,-117.62914,"San Bernardino",3,"NO2",0.145530496453901
"432",34.10374,-117.62914,"San Bernardino",3,"Ozone",0.603086795001689
"433",34.10374,-117.62914,"San Bernardino",4,"CO",0.0155485106664025
"434",34.10374,-117.62914,"San Bernardino",4,"NO2",0.199333022822543
"435",34.10374,-117.62914,"San Bernardino",4,"Ozone",0.341219206129054
"436",34.10688,-117.27411,"San Bernardino",1,"CO",0.015042057698992
"437",34.10688,-117.27411,"San Bernardino",1,"NO2",0.17798102189781
"438",34.10688,-117.27411,"San Bernardino",1,"Ozone",0.379645464025026
"439",34.10688,-117.27411,"San Bernardino",2,"CO",0.0129236868186323
"440",34.10688,-117.27411,"San Bernardino",2,"NO2",0.137654437283094
"441",34.10688,-117.27411,"San Bernardino",2,"Ozone",0.587285855868611
"442",34.10688,-117.27411,"San Bernardino",3,"CO",0.0124495377002214
"443",34.10688,-117.27411,"San Bernardino",3,"NO2",0.167742818057456
"444",34.10688,-117.27411,"San Bernardino",3,"Ozone",0.580622476885011
"445",34.10688,-117.27411,"San Bernardino",4,"CO",0.0188478795773629
"446",34.10688,-117.27411,"San Bernardino",4,"NO2",0.182394971189104
"447",34.10688,-117.27411,"San Bernardino",4,"Ozone",0.279682394458241
"448",34.1326,-118.1272,"Los Angeles",1,"CO",0.011002344249485
"449",34.1326,-118.1272,"Los Angeles",1,"NO2",0.203030333167578
"450",34.1326,-118.1272,"Los Angeles",1,"Ozone",0.285280954748881
"451",34.1326,-118.1272,"Los Angeles",2,"CO",0.00657043305126929
"452",34.1326,-118.1272,"Los Angeles",2,"NO2",0.0965803083043262
"453",34.1326,-118.1272,"Los Angeles",2,"Ozone",0.474959153228671
"454",34.1326,-118.1272,"Los Angeles",3,"CO",0.00511739338763776
"455",34.1326,-118.1272,"Los Angeles",3,"NO2",0.115560344827586
"456",34.1326,-118.1272,"Los Angeles",3,"Ozone",0.48
"457",34.1326,-118.1272,"Los Angeles",4,"CO",0.00779364348226624
"458",34.1326,-118.1272,"Los Angeles",4,"NO2",0.20037908797789
"459",34.1326,-118.1272,"Los Angeles",4,"Ozone",0.293929755701428
"460",34.1365,-117.92391,"Los Angeles",1,"CO",0.00901163605775971
"461",34.1365,-117.92391,"Los Angeles",1,"NO2",0.16820755642787
"462",34.1365,-117.92391,"Los Angeles",1,"Ozone",0.397231179027057
"463",34.1365,-117.92391,"Los Angeles",2,"CO",0.00775409023301934
"464",34.1365,-117.92391,"Los Angeles",2,"NO2",0.140143282102132
"465",34.1365,-117.92391,"Los Angeles",2,"Ozone",0.519668531765706
"466",34.1365,-117.92391,"Los Angeles",3,"CO",0.0100065231572081
"467",34.1365,-117.92391,"Los Angeles",3,"NO2",0.16964641388762
"468",34.1365,-117.92391,"Los Angeles",3,"Ozone",0.490300065231572
"469",34.1365,-117.92391,"Los Angeles",4,"CO",0.0115333246039021
"470",34.1365,-117.92391,"Los Angeles",4,"NO2",0.183883646358223
"471",34.1365,-117.92391,"Los Angeles",4,"Ozone",0.335114953821969
"472",34.14435,-117.85036,"Los Angeles",1,"CO",0.00685910942548111
"473",34.14435,-117.85036,"Los Angeles",1,"NO2",0.118187223587224
"474",34.14435,-117.85036,"Los Angeles",1,"Ozone",0.427743067743068
"475",34.14435,-117.85036,"Los Angeles",2,"CO",0.00624833110814419
"476",34.14435,-117.85036,"Los Angeles",2,"NO2",0.100658488714426
"477",34.14435,-117.85036,"Los Angeles",2,"Ozone",0.538008444757213
"478",34.14435,-117.85036,"Los Angeles",3,"CO",0.00660850599781897
"479",34.14435,-117.85036,"Los Angeles",3,"NO2",0.121927146171694
"480",34.14435,-117.85036,"Los Angeles",3,"Ozone",0.536418795927998
"481",34.14435,-117.85036,"Los Angeles",4,"CO",0.00623643023643024
"482",34.14435,-117.85036,"Los Angeles",4,"NO2",0.1220331002331
"483",34.14435,-117.85036,"Los Angeles",4,"Ozone",0.365555704878377
"484",34.19925,-118.53276,"Los Angeles",1,"CO",0.0195151173444217
"485",34.19925,-118.53276,"Los Angeles",1,"NO2",0.150360138135175
"486",34.19925,-118.53276,"Los Angeles",1,"Ozone",0.414158855451406
"487",34.19925,-118.53276,"Los Angeles",2,"CO",0.0114698966868543
"488",34.19925,-118.53276,"Los Angeles",2,"NO2",0.0973770844540075
"489",34.19925,-118.53276,"Los Angeles",2,"Ozone",0.54909155682223
"490",34.19925,-118.53276,"Los Angeles",3,"CO",0.0102221296681938
"491",34.19925,-118.53276,"Los Angeles",3,"NO2",0.105996904024768
