"","Latitude","Longitude","County","Month","Dayofweek","Pollutant","Sample"
"167",32.579361,-116.929486,"San Diego",12,"Sat","NO2",0.0686607142857143
"168",32.579361,-116.929486,"San Diego",12,"Sat","Ozone",0.473469387755102
"169",32.631231,-117.059075,"San Diego",1,"Sun","NO2",0.102636363636364
"170",32.631231,-117.059075,"San Diego",1,"Sun","Ozone",0.364935064935065
"171",32.631231,-117.059075,"San Diego",1,"Mon","NO2",0.137045454545455
"172",32.631231,-117.059075,"San Diego",1,"Mon","Ozone",0.298538961038961
"173",32.631231,-117.059075,"San Diego",1,"Tues","NO2",0.155119047619048
"174",32.631231,-117.059075,"San Diego",1,"Tues","Ozone",0.296428571428571
"175",32.631231,-117.059075,"San Diego",1,"Wed","NO2",0.178522727272727
"176",32.631231,-117.059075,"San Diego",1,"Wed","Ozone",0.242532467532468
"177",32.631231,-117.059075,"San Diego",1,"Thurs","NO2",0.147954545454545
"178",32.631231,-117.059075,"San Diego",1,"Thurs","Ozone",0.294621848739496
"179",32.631231,-117.059075,"San Diego",1,"Fri","NO2",0.183363636363636
"180",32.631231,-117.059075,"San Diego",1,"Fri","Ozone",0.274285714285714
"181",32.631231,-117.059075,"San Diego",1,"Sat","NO2",0.132909090909091
"182",32.631231,-117.059075,"San Diego",1,"Sat","Ozone",0.29
"183",32.631231,-117.059075,"San Diego",2,"Sun","NO2",0.128863636363636
"184",32.631231,-117.059075,"San Diego",2,"Sun","Ozone",0.437012987012987
"185",32.631231,-117.059075,"San Diego",2,"Mon","NO2",0.148165137614679
"186",32.631231,-117.059075,"San Diego",2,"Mon","Ozone",0.405635648754915
"187",32.631231,-117.059075,"San Diego",2,"Tues","NO2",0.188620689655172
"188",32.631231,-117.059075,"San Diego",2,"Tues","Ozone",0.321182266009852
"189",32.631231,-117.059075,"San Diego",2,"Wed","NO2",0.195232558139535
"190",32.631231,-117.059075,"San Diego",2,"Wed","Ozone",0.32358803986711
"191",32.631231,-117.059075,"San Diego",2,"Thurs","NO2",0.201818181818182
"192",32.631231,-117.059075,"San Diego",2,"Thurs","Ozone",0.313311688311688
"193",32.631231,-117.059075,"San Diego",2,"Fri","NO2",0.171704545454545
"194",32.631231,-117.059075,"San Diego",2,"Fri","Ozone",0.350649350649351
"195",32.631231,-117.059075,"San Diego",2,"Sat","NO2",0.151818181818182
"196",32.631231,-117.059075,"San Diego",2,"Sat","Ozone",0.37012987012987
"197",32.631231,-117.059075,"San Diego",3,"Sun","NO2",0.0377272727272727
"198",32.631231,-117.059075,"San Diego",3,"Sun","Ozone",0.468831168831169
"199",32.631231,-117.059075,"San Diego",3,"Mon","NO2",0.0429885057471264
"200",32.631231,-117.059075,"San Diego",3,"Mon","Ozone",0.475369458128079
"201",32.631231,-117.059075,"San Diego",3,"Tues","NO2",0.0842201834862385
"202",32.631231,-117.059075,"San Diego",3,"Tues","Ozone",0.441298701298701
"203",32.631231,-117.059075,"San Diego",3,"Wed","NO2",0.125982142857143
"204",32.631231,-117.059075,"San Diego",3,"Wed","Ozone",0.374362244897959
"205",32.631231,-117.059075,"San Diego",3,"Thurs","NO2",0.110673076923077
"206",32.631231,-117.059075,"San Diego",3,"Thurs","Ozone",0.375925925925926
"207",32.631231,-117.059075,"San Diego",3,"Fri","NO2",0.0669767441860465
"208",32.631231,-117.059075,"San Diego",3,"Fri","Ozone",0.451328903654485
"209",32.631231,-117.059075,"San Diego",3,"Sat","NO2",0.0522727272727273
"210",32.631231,-117.059075,"San Diego",3,"Sat","Ozone",0.426948051948052
"211",32.631231,-117.059075,"San Diego",4,"Sun","NO2",0.0614772727272727
"212",32.631231,-117.059075,"San Diego",4,"Sun","Ozone",0.486363636363636
"213",32.631231,-117.059075,"San Diego",4,"Mon","NO2",0.0912
"214",32.631231,-117.059075,"San Diego",4,"Mon","Ozone",0.486042692939245
"215",32.631231,-117.059075,"San Diego",4,"Tues","NO2",0.121022727272727
"216",32.631231,-117.059075,"San Diego",4,"Tues","Ozone",0.452272727272727
"217",32.631231,-117.059075,"San Diego",4,"Wed","NO2",0.11037037037037
"218",32.631231,-117.059075,"San Diego",4,"Wed","Ozone",0.451993355481728
"219",32.631231,-117.059075,"San Diego",4,"Thurs","NO2",0.0801234567901235
"220",32.631231,-117.059075,"San Diego",4,"Thurs","Ozone",0.455026455026455
"221",32.631231,-117.059075,"San Diego",4,"Fri","NO2",0.0691588785046729
"222",32.631231,-117.059075,"San Diego",4,"Fri","Ozone",0.436582109479306
"223",32.631231,-117.059075,"San Diego",4,"Sat","NO2",0.0596363636363636
"224",32.631231,-117.059075,"San Diego",4,"Sat","Ozone",0.472077922077922
"225",32.631231,-117.059075,"San Diego",5,"Sun","NO2",0.0260185185185185
"226",32.631231,-117.059075,"San Diego",5,"Sun","Ozone",0.482539682539682
"227",32.631231,-117.059075,"San Diego",5,"Mon","NO2",0.0355238095238095
"228",32.631231,-117.059075,"San Diego",5,"Mon","Ozone",0.465740740740741
"229",32.631231,-117.059075,"San Diego",5,"Tues","NO2",0.0293457943925234
"230",32.631231,-117.059075,"San Diego",5,"Tues","Ozone",0.479572763684913
"231",32.631231,-117.059075,"San Diego",5,"Wed","NO2",0.0357142857142857
"232",32.631231,-117.059075,"San Diego",5,"Wed","Ozone",0.51595547309833
"233",32.631231,-117.059075,"San Diego",5,"Thurs","NO2",0.0258571428571429
"234",32.631231,-117.059075,"San Diego",5,"Thurs","Ozone",0.513136288998358
"235",32.631231,-117.059075,"San Diego",5,"Fri","NO2",0.0249411764705882
"236",32.631231,-117.059075,"San Diego",5,"Fri","Ozone",0.537142857142857
"237",32.631231,-117.059075,"San Diego",5,"Sat","NO2",0.0277272727272727
"238",32.631231,-117.059075,"San Diego",5,"Sat","Ozone",0.49724025974026
"239",32.631231,-117.059075,"San Diego",6,"Sun","NO2",0.0463636363636364
"240",32.631231,-117.059075,"San Diego",6,"Sun","Ozone",0.494805194805195
"241",32.631231,-117.059075,"San Diego",6,"Mon","NO2",0.0567816091954023
"242",32.631231,-117.059075,"San Diego",6,"Mon","Ozone",0.452873563218391
"243",32.631231,-117.059075,"San Diego",6,"Tues","NO2",0.0338636363636364
"244",32.631231,-117.059075,"San Diego",6,"Tues","Ozone",0.459415584415584
"245",32.631231,-117.059075,"San Diego",6,"Wed","NO2",0.0256880733944954
"246",32.631231,-117.059075,"San Diego",6,"Wed","Ozone",0.465399737876802
"247",32.631231,-117.059075,"San Diego",6,"Thurs","NO2",0.0457407407407407
"248",32.631231,-117.059075,"San Diego",6,"Thurs","Ozone",0.45542328042328
"249",32.631231,-117.059075,"San Diego",6,"Fri","NO2",0.0591954022988506
"250",32.631231,-117.059075,"San Diego",6,"Fri","Ozone",0.514121510673235
"251",32.631231,-117.059075,"San Diego",6,"Sat","NO2",0.0568181818181818
"252",32.631231,-117.059075,"San Diego",6,"Sat","Ozone",0.457792207792208
"253",32.631231,-117.059075,"San Diego",7,"Sun","NO2",0.0219642857142857
"254",32.631231,-117.059075,"San Diego",7,"Sun","Ozone",0.408928571428571
"255",32.631231,-117.059075,"San Diego",7,"Mon","NO2",0.0220689655172414
"256",32.631231,-117.059075,"San Diego",7,"Mon","Ozone",0.437110016420361
"257",32.631231,-117.059075,"San Diego",7,"Tues","NO2",0.0360919540229885
"258",32.631231,-117.059075,"San Diego",7,"Tues","Ozone",0.44679802955665
"259",32.631231,-117.059075,"San Diego",7,"Wed","NO2",0.0379545454545455
"260",32.631231,-117.059075,"San Diego",7,"Wed","Ozone",0.465584415584416
"261",32.631231,-117.059075,"San Diego",7,"Thurs","NO2",0.0468604651162791
"262",32.631231,-117.059075,"San Diego",7,"Thurs","Ozone",0.439867109634551
"263",32.631231,-117.059075,"San Diego",7,"Fri","NO2",0.038348623853211
"264",32.631231,-117.059075,"San Diego",7,"Fri","Ozone",0.423591087811271
"265",32.631231,-117.059075,"San Diego",7,"Sat","NO2",0.0263302752293578
"266",32.631231,-117.059075,"San Diego",7,"Sat","Ozone",0.433813892529489
"267",32.631231,-117.059075,"San Diego",8,"Sun","NO2",0.0286666666666667
"268",32.631231,-117.059075,"San Diego",8,"Sun","Ozone",0.499365079365079
"269",32.631231,-117.059075,"San Diego",8,"Mon","NO2",0.0386486486486486
"270",32.631231,-117.059075,"San Diego",8,"Mon","Ozone",0.446975546975547
"271",32.631231,-117.059075,"San Diego",8,"Tues","NO2",0.0424545454545455
"272",32.631231,-117.059075,"San Diego",8,"Tues","Ozone",0.435064935064935
"273",32.631231,-117.059075,"San Diego",8,"Wed","NO2",0.0374766355140187
"274",32.631231,-117.059075,"San Diego",8,"Wed","Ozone",0.448865153538051
"275",32.631231,-117.059075,"San Diego",8,"Thurs","NO2",0.0202272727272727
"276",32.631231,-117.059075,"San Diego",8,"Thurs","Ozone",0.519480519480519
"277",32.631231,-117.059075,"San Diego",8,"Fri","NO2",0.0302272727272727
"278",32.631231,-117.059075,"San Diego",8,"Fri","Ozone",0.496915584415584
"279",32.631231,-117.059075,"San Diego",8,"Sat","NO2",0.0284444444444444
"280",32.631231,-117.059075,"San Diego",8,"Sat","Ozone",0.499365079365079
"281",32.631231,-117.059075,"San Diego",9,"Sun","NO2",0.0661111111111111
"282",32.631231,-117.059075,"San Diego",9,"Sun","Ozone",0.481904761904762
"283",32.631231,-117.059075,"San Diego",9,"Mon","NO2",0.0851685393258427
"284",32.631231,-117.059075,"San Diego",9,"Mon","Ozone",0.407301587301587
"285",32.631231,-117.059075,"San Diego",9,"Tues","NO2",0.0902247191011236
"286",32.631231,-117.059075,"San Diego",9,"Tues","Ozone",0.356179775280899
"287",32.631231,-117.059075,"San Diego",9,"Wed","NO2",0.0784269662921348
"288",32.631231,-117.059075,"San Diego",9,"Wed","Ozone",0.436276083467095
"289",32.631231,-117.059075,"San Diego",9,"Thurs","NO2",0.0708181818181818
"290",32.631231,-117.059075,"San Diego",9,"Thurs","Ozone",0.418051948051948
"291",32.631231,-117.059075,"San Diego",9,"Fri","NO2",0.0817272727272727
"292",32.631231,-117.059075,"San Diego",9,"Fri","Ozone",0.436623376623377
"293",32.631231,-117.059075,"San Diego",9,"Sat","NO2",0.0760674157303371
"294",32.631231,-117.059075,"San Diego",9,"Sat","Ozone",0.485874799357945
"295",32.631231,-117.059075,"San Diego",10,"Sun","NO2",0.0771818181818182
"296",32.631231,-117.059075,"San Diego",10,"Sun","Ozone",0.408701298701299
"297",32.631231,-117.059075,"San Diego",10,"Mon","NO2",0.0974747474747475
"298",32.631231,-117.059075,"San Diego",10,"Mon","Ozone",0.382857142857143
"299",32.631231,-117.059075,"San Diego",10,"Tues","NO2",0.0817857142857143
"300",32.631231,-117.059075,"San Diego",10,"Tues","Ozone",0.383116883116883
"301",32.631231,-117.059075,"San Diego",10,"Wed","NO2",0.111481481481481
"302",32.631231,-117.059075,"San Diego",10,"Wed","Ozone",0.403697478991597
"303",32.631231,-117.059075,"San Diego",10,"Thurs","NO2",0.158333333333333
"304",32.631231,-117.059075,"San Diego",10,"Thurs","Ozone",0.375340136054422
"305",32.631231,-117.059075,"San Diego",10,"Fri","NO2",0.159655172413793
"306",32.631231,-117.059075,"San Diego",10,"Fri","Ozone",0.424025974025974
"307",32.631231,-117.059075,"San Diego",10,"Sat","NO2",0.105636363636364
"308",32.631231,-117.059075,"San Diego",10,"Sat","Ozone",0.436493506493506
"309",32.631231,-117.059075,"San Diego",11,"Sun","NO2",0.116477272727273
"310",32.631231,-117.059075,"San Diego",11,"Sun","Ozone",0.384415584415584
"311",32.631231,-117.059075,"San Diego",11,"Mon","NO2",0.133139534883721
"312",32.631231,-117.059075,"San Diego",11,"Mon","Ozone",0.357314974182444
"313",32.631231,-117.059075,"San Diego",11,"Tues","NO2",0.180654205607477
"314",32.631231,-117.059075,"San Diego",11,"Tues","Ozone",0.276368491321762
"315",32.631231,-117.059075,"San Diego",11,"Wed","NO2",0.120818181818182
"316",32.631231,-117.059075,"San Diego",11,"Wed","Ozone",0.377792207792208
"317",32.631231,-117.059075,"San Diego",11,"Thurs","NO2",0.159545454545455
"318",32.631231,-117.059075,"San Diego",11,"Thurs","Ozone",0.397727272727273
"319",32.631231,-117.059075,"San Diego",11,"Fri","NO2",0.168409090909091
"320",32.631231,-117.059075,"San Diego",11,"Fri","Ozone",0.357142857142857
"321",32.631231,-117.059075,"San Diego",11,"Sat","NO2",0.157159090909091
"322",32.631231,-117.059075,"San Diego",11,"Sat","Ozone",0.376136363636364
"323",32.631231,-117.059075,"San Diego",12,"Sun","NO2",0.114545454545455
"324",32.631231,-117.059075,"San Diego",12,"Sun","Ozone",0.313474025974026
"325",32.631231,-117.059075,"San Diego",12,"Mon","NO2",0.146511627906977
"326",32.631231,-117.059075,"San Diego",12,"Mon","Ozone",0.284883720930233
"327",32.631231,-117.059075,"San Diego",12,"Tues","NO2",0.18183908045977
"328",32.631231,-117.059075,"San Diego",12,"Tues","Ozone",0.244170771756979
"329",32.631231,-117.059075,"San Diego",12,"Wed","NO2",0.214819277108434
"330",32.631231,-117.059075,"San Diego",12,"Wed","Ozone",0.169318181818182
"331",32.631231,-117.059075,"San Diego",12,"Thurs","NO2",0.156818181818182
"332",32.631231,-117.059075,"San Diego",12,"Thurs","Ozone",0.262727272727273
"333",32.631231,-117.059075,"San Diego",12,"Fri","NO2",0.111100917431193
"334",32.631231,-117.059075,"San Diego",12,"Fri","Ozone",0.332857142857143
"335",32.631231,-117.059075,"San Diego",12,"Sat","NO2",0.0842201834862385
"336",32.631231,-117.059075,"San Diego",12,"Sat","Ozone",0.404193971166448
"337",32.676186,-115.484144,"Imperial",1,"Sun","CO",0.0151967701863354
"338",32.676186,-115.484144,"Imperial",1,"Sun","NO2",0.131347826086957
