County,Hour,Pollutant,Sample,Latitude,Longitude
Humboldt,5,SO2,0.003101307,40.776944,-124.1775
Humboldt,6,CO,0.006526361,40.776944,-124.1775
Humboldt,6,NO2,0.023111975,40.776944,-124.1775
Humboldt,6,Ozone,0.294727891,40.776944,-124.1775
Humboldt,6,SO2,0.003403283,40.776944,-124.1775
Humboldt,7,CO,0.00693085,40.776944,-124.1775
Humboldt,7,NO2,0.026250362,40.776944,-124.1775
Humboldt,7,Ozone,0.290614503,40.776944,-124.1775
Humboldt,7,SO2,0.003507415,40.776944,-124.1775
Humboldt,8,CO,0.006962785,40.776944,-124.1775
Humboldt,8,NO2,0.024507331,40.776944,-124.1775
Humboldt,8,Ozone,0.308479649,40.776944,-124.1775
Humboldt,8,SO2,0.003633987,40.776944,-124.1775
Humboldt,9,CO,0.006789291,40.776944,-124.1775
Humboldt,9,NO2,0.021228358,40.776944,-124.1775
Humboldt,9,Ozone,0.33566377,40.776944,-124.1775
Humboldt,9,SO2,0.003683434,40.776944,-124.1775
Humboldt,10,CO,0.006526489,40.776944,-124.1775
Humboldt,10,NO2,0.018365008,40.776944,-124.1775
Humboldt,10,Ozone,0.362978723,40.776944,-124.1775
Humboldt,10,SO2,0.003582329,40.776944,-124.1775
Humboldt,11,CO,0.006316445,40.776944,-124.1775
Humboldt,11,NO2,0.015916793,40.776944,-124.1775
Humboldt,11,Ozone,0.386427552,40.776944,-124.1775
Humboldt,11,SO2,0.003468857,40.776944,-124.1775
Humboldt,12,CO,0.006158913,40.776944,-124.1775
Humboldt,12,NO2,0.013760181,40.776944,-124.1775
Humboldt,12,Ozone,0.403859366,40.776944,-124.1775
Humboldt,12,SO2,0.003471545,40.776944,-124.1775
Humboldt,13,CO,0.006068852,40.776944,-124.1775
Humboldt,13,NO2,0.013396369,40.776944,-124.1775
Humboldt,13,Ozone,0.417300688,40.776944,-124.1775
Humboldt,13,SO2,0.003414966,40.776944,-124.1775
Humboldt,14,CO,0.006072446,40.776944,-124.1775
Humboldt,14,NO2,0.012796407,40.776944,-124.1775
Humboldt,14,Ozone,0.423181358,40.776944,-124.1775
Humboldt,14,SO2,0.003482385,40.776944,-124.1775
Humboldt,15,CO,0.006071429,40.776944,-124.1775
Humboldt,15,NO2,0.014030928,40.776944,-124.1775
Humboldt,15,Ozone,0.422483424,40.776944,-124.1775
Humboldt,15,SO2,0.003558249,40.776944,-124.1775
Humboldt,16,CO,0.006277666,40.776944,-124.1775
Humboldt,16,NO2,0.017463343,40.776944,-124.1775
Humboldt,16,Ozone,0.416289321,40.776944,-124.1775
Humboldt,16,SO2,0.003453465,40.776944,-124.1775
Humboldt,17,CO,0.006579727,40.776944,-124.1775
Humboldt,17,NO2,0.022008523,40.776944,-124.1775
Humboldt,17,Ozone,0.402853207,40.776944,-124.1775
Humboldt,17,SO2,0.003491436,40.776944,-124.1775
Humboldt,18,CO,0.00682802,40.776944,-124.1775
Humboldt,18,NO2,0.023568794,40.776944,-124.1775
Humboldt,18,Ozone,0.388579278,40.776944,-124.1775
Humboldt,18,SO2,0.003428941,40.776944,-124.1775
Humboldt,19,CO,0.007085556,40.776944,-124.1775
Humboldt,19,NO2,0.023683381,40.776944,-124.1775
Humboldt,19,Ozone,0.370956316,40.776944,-124.1775
Humboldt,19,SO2,0.003439424,40.776944,-124.1775
Humboldt,20,CO,0.007115156,40.776944,-124.1775
Humboldt,20,NO2,0.022645349,40.776944,-124.1775
Humboldt,20,Ozone,0.355901478,40.776944,-124.1775
Humboldt,20,SO2,0.003465054,40.776944,-124.1775
Humboldt,21,CO,0.006846011,40.776944,-124.1775
Humboldt,21,NO2,0.022997085,40.776944,-124.1775
Humboldt,21,Ozone,0.350632386,40.776944,-124.1775
Humboldt,21,SO2,0.003301587,40.776944,-124.1775
Humboldt,22,CO,0.006806865,40.776944,-124.1775
Humboldt,22,NO2,0.02110084,40.776944,-124.1775
Humboldt,22,Ozone,0.310399704,40.776944,-124.1775
Humboldt,22,SO2,0.003576577,40.776944,-124.1775
Humboldt,23,CO,0.006928079,40.776944,-124.1775
Humboldt,23,NO2,0.017972414,40.776944,-124.1775
Humboldt,23,Ozone,0.312231559,40.776944,-124.1775
Humboldt,23,SO2,0.003484058,40.776944,-124.1775
Imperial,0,CO,0.007222201,32.676186,-115.484144
Imperial,0,NO2,0.072548697,32.676186,-115.484144
Imperial,0,Ozone,0.322501967,32.676186,-115.484144
Imperial,0,SO2,0.005786301,32.676186,-115.484144
Imperial,1,CO,0.006626464,32.676186,-115.484144
Imperial,1,NO2,0.063508916,32.676186,-115.484144
Imperial,1,Ozone,0.312297844,32.676186,-115.484144
Imperial,1,SO2,0.005216438,32.676186,-115.484144
Imperial,2,CO,0.006516628,32.676186,-115.484144
Imperial,2,NO2,0.061153635,32.676186,-115.484144
Imperial,2,Ozone,0.299179499,32.676186,-115.484144
Imperial,2,SO2,0.005055708,32.676186,-115.484144
Imperial,3,CO,0.006629977,32.676186,-115.484144
Imperial,3,NO2,0.066484225,32.676186,-115.484144
Imperial,3,Ozone,0.281502695,32.676186,-115.484144
Imperial,3,SO2,0.004748858,32.676186,-115.484144
Imperial,4,CO,0.023978571,32.676186,-115.484144
Imperial,4,NO2,0.0942,32.676186,-115.484144
Imperial,4,Ozone,0.21038961,32.676186,-115.484144
Imperial,4,SO2,0.004,32.676186,-115.484144
Imperial,5,CO,0.010465293,32.676186,-115.484144
Imperial,5,NO2,0.109020576,32.676186,-115.484144
Imperial,5,Ozone,0.22484521,32.676186,-115.484144
Imperial,5,SO2,0.006955251,32.676186,-115.484144
Imperial,6,CO,0.011837564,32.676186,-115.484144
Imperial,6,NO2,0.12437037,32.676186,-115.484144
Imperial,6,Ozone,0.240866142,32.676186,-115.484144
Imperial,6,SO2,0.009742466,32.676186,-115.484144
Imperial,7,CO,0.011038142,32.676186,-115.484144
