"","County","Dayofweek","Pollutant","Sample","Latitude","Longitude"
"148","Imperial","Wed","Ozone",0.423851294903926,32.676186,-115.484144
"149","Imperial","Wed","SO2",0.00943050847457627,32.676186,-115.484144
"150","Imperial","Thurs","CO",0.00738993882691616,32.676186,-115.484144
"151","Imperial","Thurs","NO2",0.088962457337884,32.676186,-115.484144
"152","Imperial","Thurs","Ozone",0.421889681572995,32.676186,-115.484144
"153","Imperial","Thurs","SO2",0.008793867120954,32.676186,-115.484144
"154","Imperial","Fri","CO",0.007740135389769,32.676186,-115.484144
"155","Imperial","Fri","NO2",0.0929958915365653,32.676186,-115.484144
"156","Imperial","Fri","Ozone",0.421780360966656,32.676186,-115.484144
"157","Imperial","Fri","SO2",0.0109062072737216,32.676186,-115.484144
"158","Imperial","Sat","CO",0.00688641387994963,32.676186,-115.484144
"159","Imperial","Sat","NO2",0.0794638157894737,32.676186,-115.484144
"160","Imperial","Sat","Ozone",0.424794315632012,32.676186,-115.484144
"161","Imperial","Sat","SO2",0.00979939543830723,32.676186,-115.484144
"162","Inyo","Sun","CO",0.00344828906436947,37.360684,-118.330783
"163","Inyo","Sun","Ozone",0.57154952890247,37.360684,-118.330783
"164","Inyo","Sun","SO2",9.85603543743079e-05,37.360684,-118.330783
"165","Inyo","Mon","CO",0.00345704399406822,37.360684,-118.330783
"166","Inyo","Mon","Ozone",0.567464607464607,37.360684,-118.330783
"167","Inyo","Mon","SO2",6.7007382169222e-05,37.360684,-118.330783
"168","Inyo","Tues","CO",0.00336130541871921,37.360684,-118.330783
"169","Inyo","Tues","Ozone",0.551949212020672,37.360684,-118.330783
"170","Inyo","Tues","SO2",9.19931856899489e-05,37.360684,-118.330783
"171","Inyo","Wed","CO",0.00334351049126775,37.360684,-118.330783
"172","Inyo","Wed","Ozone",0.555056179775281,37.360684,-118.330783
"173","Inyo","Wed","SO2",7.64185913886513e-05,37.360684,-118.330783
"174","Inyo","Thurs","CO",0.0032466941632296,37.360684,-118.330783
"175","Inyo","Thurs","Ozone",0.556867891513561,37.360684,-118.330783
"176","Inyo","Thurs","SO2",8.60215053763441e-05,37.360684,-118.330783
"177","Inyo","Fri","CO",0.00321795991778006,37.360684,-118.330783
"178","Inyo","Fri","Ozone",0.558940397350993,37.360684,-118.330783
"179","Inyo","Fri","SO2",9.4830048557555e-05,37.360684,-118.330783
"180","Inyo","Sat","CO",0.00341052631578947,37.360684,-118.330783
"181","Inyo","Sat","Ozone",0.567575681761321,37.360684,-118.330783
"182","Inyo","Sat","SO2",7.78508771929825e-05,37.360684,-118.330783
