County,Hour,Season,Pollutant,Sample,Latitude,Longitude
Alameda,13,4,CO,0.012684105,37.743065,-122.169935
Alameda,13,4,NO2,0.108712302,37.687526,-121.784217
Alameda,13,4,Ozone,0.41425737,37.687526,-121.784217
Alameda,13,4,SO2,0.012178862,37.814781,-122.282347
Alameda,14,1,CO,0.010607676,37.743065,-122.169935
Alameda,14,1,NO2,0.106725275,37.687526,-121.784217
Alameda,14,1,Ozone,0.438029827,37.687526,-121.784217
Alameda,14,1,SO2,0.015457875,37.814781,-122.282347
Alameda,14,2,CO,0.009049389,37.743065,-122.169935
Alameda,14,2,NO2,0.065576497,37.687526,-121.784217
Alameda,14,2,Ozone,0.601702933,37.687526,-121.784217
Alameda,14,2,SO2,0.012059259,37.814781,-122.282347
Alameda,14,3,CO,0.011388667,37.743065,-122.169935
Alameda,14,3,NO2,0.073425139,37.687526,-121.784217
Alameda,14,3,Ozone,0.525962045,37.687526,-121.784217
Alameda,14,3,SO2,0.01147619,37.814781,-122.282347
Alameda,14,4,CO,0.012721468,37.743065,-122.169935
Alameda,14,4,NO2,0.110069034,37.687526,-121.784217
Alameda,14,4,Ozone,0.417519685,37.687526,-121.784217
Alameda,14,4,SO2,0.010281124,37.814781,-122.282347
Alameda,15,1,CO,0.010916844,37.743065,-122.169935
Alameda,15,1,NO2,0.113085399,37.687526,-121.784217
Alameda,15,1,Ozone,0.429317111,37.687526,-121.784217
Alameda,15,1,SO2,0.014725275,37.814781,-122.282347
Alameda,15,2,CO,0.009142857,37.743065,-122.169935
Alameda,15,2,NO2,0.068289823,37.687526,-121.784217
Alameda,15,2,Ozone,0.5859035,37.687526,-121.784217
Alameda,15,2,SO2,0.011674074,37.814781,-122.282347
Alameda,15,3,CO,0.011524342,37.743065,-122.169935
Alameda,15,3,NO2,0.074822878,37.687526,-121.784217
Alameda,15,3,Ozone,0.501739589,37.687526,-121.784217
Alameda,15,3,SO2,0.011349206,37.814781,-122.282347
Alameda,15,4,CO,0.012853119,37.743065,-122.169935
Alameda,15,4,NO2,0.114934911,37.687526,-121.784217
Alameda,15,4,Ozone,0.407848673,37.687526,-121.784217
Alameda,15,4,SO2,0.015598394,37.814781,-122.282347
Alameda,16,1,CO,0.011332623,37.743065,-122.169935
Alameda,16,1,NO2,0.123258242,37.687526,-121.784217
Alameda,16,1,Ozone,0.410125589,37.687526,-121.784217
Alameda,16,1,SO2,0.014534799,37.814781,-122.282347
Alameda,16,2,CO,0.009079365,37.743065,-122.169935
Alameda,16,2,NO2,0.068993363,37.687526,-121.784217
Alameda,16,2,Ozone,0.558782718,37.687526,-121.784217
Alameda,16,2,SO2,0.01117037,37.814781,-122.282347
Alameda,16,3,CO,0.011508828,37.743065,-122.169935
Alameda,16,3,NO2,0.074261993,37.687526,-121.784217
Alameda,16,3,Ozone,0.461957672,37.687526,-121.784217
Alameda,16,3,SO2,0.010666667,37.814781,-122.282347
Alameda,16,4,CO,0.013521687,37.743065,-122.169935
Alameda,16,4,NO2,0.12851378,37.687526,-121.784217
Alameda,16,4,Ozone,0.373781513,37.687526,-121.784217
Alameda,16,4,SO2,0.009253012,37.814781,-122.282347
Alameda,17,1,CO,0.012025586,37.743065,-122.169935
Alameda,17,1,NO2,0.148524725,37.687526,-121.784217
Alameda,17,1,Ozone,0.371153846,37.687526,-121.784217
Alameda,17,1,SO2,0.014739927,37.814781,-122.282347
Alameda,17,2,CO,0.008846561,37.743065,-122.169935
Alameda,17,2,NO2,0.067524336,37.687526,-121.784217
Alameda,17,2,Ozone,0.524030274,37.687526,-121.784217
Alameda,17,2,SO2,0.011303704,37.814781,-122.282347
Alameda,17,3,CO,0.011605136,37.743065,-122.169935
Alameda,17,3,NO2,0.078821033,37.687526,-121.784217
Alameda,17,3,Ozone,0.411719577,37.687526,-121.784217
Alameda,17,3,SO2,0.011609756,37.814781,-122.282347
Alameda,17,4,CO,0.01454039,37.743065,-122.169935
Alameda,17,4,NO2,0.151797244,37.687526,-121.784217
Alameda,17,4,Ozone,0.322492997,37.687526,-121.784217
Alameda,17,4,SO2,0.00875502,37.814781,-122.282347
Alameda,18,1,CO,0.012846482,37.743065,-122.169935
Alameda,18,1,NO2,0.166258242,37.687526,-121.784217
Alameda,18,1,Ozone,0.330775285,37.687526,-121.784217
Alameda,18,1,SO2,0.012058608,37.814781,-122.282347
Alameda,18,2,CO,0.009038768,37.743065,-122.169935
Alameda,18,2,NO2,0.073838137,37.687526,-121.784217
Alameda,18,2,Ozone,0.486439609,37.687526,-121.784217
Alameda,18,2,SO2,0.011214815,37.814781,-122.282347
Alameda,18,3,CO,0.011830986,37.743065,-122.169935
Alameda,18,3,NO2,0.086134935,37.687526,-121.784217
Alameda,18,3,Ozone,0.359074074,37.687526,-121.784217
Alameda,18,3,SO2,0.011252033,37.814781,-122.282347
Alameda,18,4,CO,0.015706305,37.743065,-122.169935
Alameda,18,4,NO2,0.165514793,37.687526,-121.784217
Alameda,18,4,Ozone,0.283833848,37.687526,-121.784217
Alameda,18,4,SO2,0.007495935,37.814781,-122.282347
Alameda,19,1,CO,0.013720682,37.743065,-122.169935
Alameda,19,1,NO2,0.171299451,37.687526,-121.784217
Alameda,19,1,Ozone,0.305455259,37.687526,-121.784217
Alameda,19,1,SO2,0.009919414,37.814781,-122.282347
Alameda,19,2,CO,0.009333333,37.743065,-122.169935
Alameda,19,2,NO2,0.079580931,37.687526,-121.784217
Alameda,19,2,Ozone,0.451390645,37.687526,-121.784217
Alameda,19,2,SO2,0.010474074,37.814781,-122.282347
Alameda,19,3,CO,0.011741573,37.743065,-122.169935
Alameda,19,3,NO2,0.086180812,37.687526,-121.784217
Alameda,19,3,Ozone,0.327486772,37.687526,-121.784217
Alameda,19,3,SO2,0.008162602,37.814781,-122.282347
Alameda,19,4,CO,0.016703911,37.743065,-122.169935
Alameda,19,4,NO2,0.167808679,37.687526,-121.784217
Alameda,19,4,Ozone,0.266853775,37.687526,-121.784217
Alameda,19,4,SO2,0.007853659,37.814781,-122.282347
Alameda,20,1,CO,0.014253612,37.743065,-122.169935
Alameda,20,1,NO2,0.171373626,37.687526,-121.784217
Alameda,20,1,Ozone,0.287794349,37.687526,-121.784217
Alameda,20,1,SO2,0.009377289,37.814781,-122.282347
Alameda,20,2,CO,0.009314923,37.743065,-122.169935
Alameda,20,2,NO2,0.080875831,37.687526,-121.784217
Alameda,20,2,Ozone,0.429743427,37.687526,-121.784217
Alameda,20,2,SO2,0.010052434,37.814781,-122.282347
Alameda,20,3,CO,0.011540616,37.743065,-122.169935
Alameda,20,3,NO2,0.082243542,37.687526,-121.784217
Alameda,20,3,Ozone,0.314919461,37.687526,-121.784217
Alameda,20,3,SO2,0.007855422,37.814781,-122.282347
Alameda,20,4,CO,0.017254589,37.743065,-122.169935
Alameda,20,4,NO2,0.167067061,37.687526,-121.784217
Alameda,20,4,Ozone,0.254341737,37.687526,-121.784217
Alameda,20,4,SO2,0.007447154,37.814781,-122.282347
Alameda,21,1,CO,0.01445629,37.743065,-122.169935
Alameda,21,1,NO2,0.17075,37.687526,-121.784217
Alameda,21,1,Ozone,0.273233909,37.687526,-121.784217
Alameda,21,1,SO2,0.009216117,37.814781,-122.282347
Alameda,21,2,CO,0.00913436,37.743065,-122.169935
Alameda,21,2,NO2,0.077279379,37.687526,-121.784217
Alameda,21,2,Ozone,0.419058154,37.687526,-121.784217
Alameda,21,2,SO2,0.009797753,37.814781,-122.282347
Alameda,21,3,CO,0.011116447,37.743065,-122.169935
Alameda,21,3,NO2,0.077442804,37.687526,-121.784217
Alameda,21,3,Ozone,0.307736995,37.687526,-121.784217
Alameda,21,3,SO2,0.007662651,37.814781,-122.282347
Alameda,21,4,CO,0.017693536,37.743065,-122.169935
Alameda,21,4,NO2,0.16212426,37.687526,-121.784217
Alameda,21,4,Ozone,0.248403361,37.687526,-121.784217
Alameda,21,4,SO2,0.007528455,37.814781,-122.282347
Alameda,22,1,CO,0.014637527,37.743065,-122.169935
Alameda,22,1,NO2,0.164307692,37.687526,-121.784217
Alameda,22,1,Ozone,0.269073783,37.687526,-121.784217
Alameda,22,1,SO2,0.009025641,37.814781,-122.282347
Alameda,22,2,CO,0.009028147,37.743065,-122.169935
Alameda,22,2,NO2,0.074525499,37.687526,-121.784217
Alameda,22,2,Ozone,0.408944374,37.687526,-121.784217
Alameda,22,2,SO2,0.009827715,37.814781,-122.282347
Alameda,22,3,CO,0.01072429,37.743065,-122.169935
Alameda,22,3,NO2,0.072278598,37.687526,-121.784217
Alameda,22,3,Ozone,0.30293108,37.687526,-121.784217
Alameda,22,3,SO2,0.007726908,37.814781,-122.282347
Alameda,22,4,CO,0.017254589,37.743065,-122.169935
Alameda,22,4,NO2,0.153404339,37.687526,-121.784217
Alameda,22,4,Ozone,0.246526611,37.687526,-121.784217
Alameda,22,4,SO2,0.007772358,37.814781,-122.282347
Alameda,23,1,CO,0.014168443,37.743065,-122.169935
Alameda,23,1,NO2,0.148505495,37.687526,-121.784217
Alameda,23,1,Ozone,0.271821036,37.687526,-121.784217
Alameda,23,1,SO2,0.009025641,37.814781,-122.282347
Alameda,23,2,CO,0.008433351,37.743065,-122.169935
Alameda,23,2,NO2,0.067363636,37.687526,-121.784217
Alameda,23,2,Ozone,0.406036662,37.687526,-121.784217
Alameda,23,2,SO2,0.009992509,37.814781,-122.282347
Alameda,23,3,CO,0.010096308,37.743065,-122.169935
Alameda,23,3,NO2,0.066789279,37.687526,-121.784217
Alameda,23,3,Ozone,0.301214682,37.687526,-121.784217
Alameda,23,3,SO2,0.008722892,37.814781,-122.282347
Alameda,23,4,CO,0.016576217,37.743065,-122.169935
Alameda,23,4,NO2,0.145197239,37.687526,-121.784217
Alameda,23,4,Ozone,0.245938375,37.687526,-121.784217
Alameda,23,4,SO2,0.007853659,37.814781,-122.282347
Contra Costa,0,1,CO,0.011354771,37.936013,-122.026154
Contra Costa,0,1,NO2,0.078250923,37.936013,-122.026154
Contra Costa,0,1,Ozone,0.245545598,37.936013,-122.026154
Contra Costa,0,1,SO2,0.011516268,37.936013,-122.026154
