County,Season,Pollutant,Sample,Latitude,Longitude
Orange,2,Ozone,0.526685239,33.83062,-117.93845
Orange,2,SO2,0.000598626,33.67464,-117.92568
Orange,3,CO,0.009715856,33.83062,-117.93845
Orange,3,NO2,0.112185153,33.83062,-117.93845
Orange,3,Ozone,0.476109677,33.83062,-117.93845
Orange,3,SO2,0.001102827,33.67464,-117.92568
Orange,4,CO,0.015810924,33.83062,-117.93845
Orange,4,NO2,0.205052997,33.83062,-117.93845
Orange,4,Ozone,0.307175698,33.83062,-117.93845
Orange,4,SO2,0.002336391,33.67464,-117.92568
Riverside,1,CO,0.008693262,33.85275,-116.54101
Riverside,1,NO2,0.1078266,33.447867,-117.088649
Riverside,1,Ozone,0.456617871,33.7411,-115.8206
Riverside,1,SO2,0.003088639,33.99958,-117.41601
Riverside,2,CO,0.005146278,33.85275,-116.54101
Riverside,2,NO2,0.056129955,33.447867,-117.088649
Riverside,2,Ozone,0.635994108,33.7411,-115.8206
Riverside,2,SO2,0.00216358,33.99958,-117.41601
Riverside,3,CO,0.005878373,33.85275,-116.54101
Riverside,3,NO2,0.065751949,33.447867,-117.088649
Riverside,3,Ozone,0.59205731,33.7411,-115.8206
Riverside,3,SO2,0.003758128,33.99958,-117.41601
Riverside,4,CO,0.009324072,33.85275,-116.54101
Riverside,4,NO2,0.111106104,33.447867,-117.088649
Riverside,4,Ozone,0.40219768,33.7411,-115.8206
Riverside,4,SO2,0.003509365,33.99958,-117.41601
Sacramento,1,CO,0.015541473,38.71209,-121.38109
Sacramento,1,NO2,0.080624966,38.71209,-121.38109
Sacramento,1,Ozone,0.306687648,38.71209,-121.38109
Sacramento,1,SO2,0.051546525,38.613779,-121.368014
Sacramento,2,CO,0.007354406,38.71209,-121.38109
Sacramento,2,NO2,0.048991339,38.71209,-121.38109
Sacramento,2,Ozone,0.48761649,38.71209,-121.38109
Sacramento,2,SO2,0.031300071,38.613779,-121.368014
Sacramento,3,CO,0.008059782,38.71209,-121.38109
Sacramento,3,NO2,0.051309575,38.71209,-121.38109
Sacramento,3,Ozone,0.489041746,38.71209,-121.38109
Sacramento,3,SO2,0.031348162,38.613779,-121.368014
Sacramento,4,CO,0.012455979,38.71209,-121.38109
Sacramento,4,NO2,0.094814078,38.71209,-121.38109
Sacramento,4,Ozone,0.270180104,38.71209,-121.38109
Sacramento,4,SO2,0.026374528,38.613779,-121.368014
San Bernardino,1,CO,0.011947012,34.895007,-117.024484
San Bernardino,1,NO2,0.210747537,34.895007,-117.024484
San Bernardino,1,Ozone,0.434602806,34.895007,-117.024484
San Bernardino,1,SO2,0.007015619,34.510014,-117.331433
San Bernardino,2,CO,0.009100232,34.895007,-117.024484
San Bernardino,2,NO2,0.144965925,34.895007,-117.024484
San Bernardino,2,Ozone,0.666110981,34.895007,-117.024484
San Bernardino,2,SO2,0.007965515,34.510014,-117.331433
San Bernardino,3,CO,0.010687206,34.895007,-117.024484
