"","Latitude","Longitude","County","Weekend_day","Pollutant","Sample"
"365",34.949147,-120.43763,"Santa Barbara","weekday","CO",0.00526050420168067
"366",34.949147,-120.43763,"Santa Barbara","weekday","NO2",0.0650178842584782
"367",34.949147,-120.43763,"Santa Barbara","weekday","Ozone",0.36055644909619
"368",34.949147,-120.43763,"Santa Barbara","weekend","CO",0.00510997282287605
"369",34.949147,-120.43763,"Santa Barbara","weekend","NO2",0.0525550041356493
"370",34.949147,-120.43763,"Santa Barbara","weekend","Ozone",0.377502067824648
"371",35.02083,-120.56388,"San Luis Obispo","weekday","SO2",0.00049930030786454
"372",35.02083,-120.56388,"San Luis Obispo","weekend","SO2",0.000485651214128035
"373",35.03146,-120.50103,"San Luis Obispo","weekday","NO2",0.0225373134328358
"374",35.03146,-120.50103,"San Luis Obispo","weekday","Ozone",0.420998132744865
"375",35.03146,-120.50103,"San Luis Obispo","weekend","NO2",0.0170303304662743
"376",35.03146,-120.50103,"San Luis Obispo","weekend","Ozone",0.42918944616116
"377",35.050551,-118.147294,"Kern","weekday","Ozone",0.669667386185243
"378",35.050551,-118.147294,"Kern","weekend","Ozone",0.674184619087736
"379",35.05443,-119.404826,"Kern","weekday","Ozone",0.62142252533314
"380",35.05443,-119.404826,"Kern","weekend","Ozone",0.623070918152885
"381",35.1019,-115.7767,"San Bernardino","weekday","Ozone",0.773681006493506
"382",35.1019,-115.7767,"San Bernardino","weekend","Ozone",0.746038788186082
"383",35.23668,-118.789424,"Kern","weekday","CO",0.00469740634005764
"384",35.23668,-118.789424,"Kern","weekday","Ozone",0.499414737962224
"385",35.23668,-118.789424,"Kern","weekend","CO",0.00485089463220676
"386",35.23668,-118.789424,"Kern","weekend","Ozone",0.513096254727339
"387",35.256577,-120.669861,"San Luis Obispo","weekday","Ozone",0.390513541865344
"388",35.256577,-120.669861,"San Luis Obispo","weekend","Ozone",0.41156462585034
"389",35.331302,-119.000974,"Kern","weekday","CO",0.00770809572549593
"390",35.331302,-119.000974,"Kern","weekday","NO2",0.118503488174239
"391",35.331302,-119.000974,"Kern","weekday","Ozone",0.436107548220033
"392",35.331302,-119.000974,"Kern","weekend","CO",0.00749184881053013
"393",35.331302,-119.000974,"Kern","weekend","NO2",0.0944741086587436
"394",35.331302,-119.000974,"Kern","weekend","Ozone",0.468810328185328
"395",35.346094,-118.852037,"Kern","weekday","NO2",0.0635841771065729
"396",35.346094,-118.852037,"Kern","weekday","Ozone",0.540518871311299
"397",35.346094,-118.852037,"Kern","weekend","NO2",0.0532446808510638
"398",35.346094,-118.852037,"Kern","weekend","Ozone",0.556803005008347
"399",35.35472,-120.04019,"San Luis Obispo","weekday","Ozone",0.466405235047876
"400",35.35472,-120.04019,"San Luis Obispo","weekend","Ozone",0.467434190435473
"401",35.356092,-119.041209,"Kern","weekday","NO2",0.130832942026368
"402",35.356092,-119.041209,"Kern","weekday","Ozone",0.436698671321889
"403",35.356092,-119.041209,"Kern","weekend","NO2",0.106919658886894
"404",35.356092,-119.041209,"Kern","weekend","Ozone",0.454161232957913
"405",35.36631,-120.84271,"San Luis Obispo","weekday","NO2",0.0425258799171843
"406",35.36631,-120.84271,"San Luis Obispo","weekday","Ozone",0.394237012987013
"407",35.36631,-120.84271,"San Luis Obispo","weekend","NO2",0.0262374581939799
"408",35.36631,-120.84271,"San Luis Obispo","weekend","Ozone",0.407857733664185
"409",35.438869,-119.016765,"Kern","weekday","Ozone",0.488536124935644
"410",35.438869,-119.016765,"Kern","weekend","Ozone",0.505726708074534
"411",35.49453,-120.66617,"San Luis Obispo","weekday","NO2",0.0414401212733704
"412",35.49453,-120.66617,"San Luis Obispo","weekday","Ozone",0.343932801547015
"413",35.49453,-120.66617,"San Luis Obispo","weekend","NO2",0.0322508305647841
"414",35.49453,-120.66617,"San Luis Obispo","weekend","Ozone",0.356476745569169
"415",35.503587,-119.272606,"Kern","weekday","NO2",0.10025783619818
"416",35.503587,-119.272606,"Kern","weekday","Ozone",0.450942755223374
"417",35.503587,-119.272606,"Kern","weekend","NO2",0.0841048454469507
"418",35.503587,-119.272606,"Kern","weekend","Ozone",0.465652225802602
"419",35.631629,-120.690977,"San Luis Obispo","weekday","Ozone",0.402595667525527
"420",35.631629,-120.690977,"San Luis Obispo","weekend","Ozone",0.421129843241644
"421",35.64368,-120.23135,"San Luis Obispo","weekday","Ozone",0.609559358185079
"422",35.64368,-120.23135,"San Luis Obispo","weekend","Ozone",0.605776397515528
"423",35.763873,-117.397004,"San Bernardino","weekday","NO2",0.0538123803446075
"424",35.763873,-117.397004,"San Bernardino","weekday","Ozone",0.550167129486784
"425",35.763873,-117.397004,"San Bernardino","weekday","SO2",0.01379003003003
"426",35.763873,-117.397004,"San Bernardino","weekend","NO2",0.0389769313304721
"427",35.763873,-117.397004,"San Bernardino","weekend","Ozone",0.561700920438785
"428",35.763873,-117.397004,"San Bernardino","weekend","SO2",0.0141219908433023
"429",36.031831,-119.055018,"Tulare","weekday","Ozone",0.494852082522382
"430",36.031831,-119.055018,"Tulare","weekend","Ozone",0.499946271864366
"431",36.209286,-121.126371,"Monterey","weekday","Ozone",0.341288695253382
"432",36.209286,-121.126371,"Monterey","weekend","Ozone",0.360019328065488
"433",36.233274,-119.766212,"Kings","weekday","Ozone",0.420612419177748
"434",36.233274,-119.766212,"Kings","weekend","Ozone",0.424692604692605
