,County,Pollutant,Dayofweek,Hour,Sample
400,Alameda,Ozone,Tue,15,0.482857143
401,Alameda,Ozone,Tue,16,0.445929919
402,Alameda,Ozone,Tue,17,0.401778976
403,Alameda,Ozone,Tue,18,0.362749326
404,Alameda,Ozone,Tue,19,0.332722372
405,Alameda,Ozone,Tue,20,0.305283019
406,Alameda,Ozone,Tue,21,0.29083558
407,Alameda,Ozone,Tue,22,0.286145553
408,Alameda,Ozone,Tue,23,0.29115903
409,Alameda,Ozone,Wed,0,0.287061995
410,Alameda,Ozone,Wed,1,0.283441558
411,Alameda,Ozone,Wed,2,0.289709443
412,Alameda,Ozone,Wed,3,0.145341615
413,Alameda,Ozone,Wed,4,0.241864313
414,Alameda,Ozone,Wed,5,0.229844961
415,Alameda,Ozone,Wed,6,0.231739855
416,Alameda,Ozone,Wed,7,0.248325893
417,Alameda,Ozone,Wed,8,0.283956044
418,Alameda,Ozone,Wed,9,0.327734375
419,Alameda,Ozone,Wed,10,0.378823529
420,Alameda,Ozone,Wed,11,0.426034197
421,Alameda,Ozone,Wed,12,0.470104799
422,Alameda,Ozone,Wed,13,0.48827699
423,Alameda,Ozone,Wed,14,0.484430177
424,Alameda,Ozone,Wed,15,0.468485821
425,Alameda,Ozone,Wed,16,0.439539861
426,Alameda,Ozone,Wed,17,0.3917603
427,Alameda,Ozone,Wed,18,0.34788657
428,Alameda,Ozone,Wed,19,0.31835206
429,Alameda,Ozone,Wed,20,0.302309345
430,Alameda,Ozone,Wed,21,0.292051557
431,Alameda,Ozone,Wed,22,0.293447905
432,Alameda,Ozone,Wed,23,0.29189044
433,Alameda,Ozone,Thu,0,0.294177898
434,Alameda,Ozone,Thu,1,0.292316017
435,Alameda,Ozone,Thu,2,0.299579832
436,Alameda,Ozone,Thu,3,0.164285714
437,Alameda,Ozone,Thu,4,0.263396226
438,Alameda,Ozone,Thu,5,0.244499179
439,Alameda,Ozone,Thu,6,0.242093784
440,Alameda,Ozone,Thu,7,0.249945474
441,Alameda,Ozone,Thu,8,0.271810251
442,Alameda,Ozone,Thu,9,0.307792208
443,Alameda,Ozone,Thu,10,0.352922078
444,Alameda,Ozone,Thu,11,0.396807359
445,Alameda,Ozone,Thu,12,0.43638814
446,Alameda,Ozone,Thu,13,0.461815252
447,Alameda,Ozone,Thu,14,0.462760835
448,Alameda,Ozone,Thu,15,0.448948787
449,Alameda,Ozone,Thu,16,0.418780096
450,Alameda,Ozone,Thu,17,0.370733012
451,Alameda,Ozone,Thu,18,0.33258427
452,Alameda,Ozone,Thu,19,0.31084855
453,Alameda,Ozone,Thu,20,0.30386681
454,Alameda,Ozone,Thu,21,0.302846402
455,Alameda,Ozone,Thu,22,0.300537057
456,Alameda,Ozone,Thu,23,0.304887218
457,Alameda,Ozone,Fri,0,0.303728992
458,Alameda,Ozone,Fri,1,0.300582011
459,Alameda,Ozone,Fri,2,0.309133489
460,Alameda,Ozone,Fri,3,0.14973545
461,Alameda,Ozone,Fri,4,0.269365079
462,Alameda,Ozone,Fri,5,0.262380952
463,Alameda,Ozone,Fri,6,0.264818763
464,Alameda,Ozone,Fri,7,0.27034632
465,Alameda,Ozone,Fri,8,0.289245586
466,Alameda,Ozone,Fri,9,0.326084656
467,Alameda,Ozone,Fri,10,0.369144981
468,Alameda,Ozone,Fri,11,0.413389562
469,Alameda,Ozone,Fri,12,0.454074074
470,Alameda,Ozone,Fri,13,0.48019958
471,Alameda,Ozone,Fri,14,0.489167975
472,Alameda,Ozone,Fri,15,0.476785714
473,Alameda,Ozone,Fri,16,0.447478992
474,Alameda,Ozone,Fri,17,0.402888655
475,Alameda,Ozone,Fri,18,0.362941487
476,Alameda,Ozone,Fri,19,0.343331576
477,Alameda,Ozone,Fri,20,0.334611345
478,Alameda,Ozone,Fri,21,0.330627306
479,Alameda,Ozone,Fri,22,0.324934106
480,Alameda,Ozone,Fri,23,0.318819188
481,Alameda,Ozone,Sat,0,0.321349499
482,Alameda,Ozone,Sat,1,0.322509225
483,Alameda,Ozone,Sat,2,0.320725995
484,Alameda,Ozone,Sat,3,0.245604396
485,Alameda,Ozone,Sat,4,0.299259259
486,Alameda,Ozone,Sat,5,0.286560847
487,Alameda,Ozone,Sat,6,0.287830688
488,Alameda,Ozone,Sat,7,0.309417989
489,Alameda,Ozone,Sat,8,0.335371639
490,Alameda,Ozone,Sat,9,0.37733263
491,Alameda,Ozone,Sat,10,0.421507644
492,Alameda,Ozone,Sat,11,0.462994201
493,Alameda,Ozone,Sat,12,0.49441223
494,Alameda,Ozone,Sat,13,0.51370154
495,Alameda,Ozone,Sat,14,0.512798725
496,Alameda,Ozone,Sat,15,0.497238449
497,Alameda,Ozone,Sat,16,0.466931217
498,Alameda,Ozone,Sat,17,0.424550265
499,Alameda,Ozone,Sat,18,0.377830688
500,Alameda,Ozone,Sat,19,0.350740741
501,Alameda,Ozone,Sat,20,0.32962963
502,Alameda,Ozone,Sat,21,0.322192936
503,Alameda,Ozone,Sat,22,0.314180285
504,Alameda,Ozone,Sat,23,0.311808118
505,Alameda,SO2,Sun,0,0.008
506,Alameda,SO2,Sun,1,0.007918367
507,Alameda,SO2,Sun,4,0.009142857
508,Alameda,SO2,Sun,5,0.00862585
509,Alameda,SO2,Sun,6,0.008653061
510,Alameda,SO2,Sun,7,0.01014966
511,Alameda,SO2,Sun,8,0.012217687
512,Alameda,SO2,Sun,9,0.012054422
513,Alameda,SO2,Sun,10,0.011646259
514,Alameda,SO2,Sun,11,0.011619048
515,Alameda,SO2,Sun,12,0.011401361
516,Alameda,SO2,Sun,13,0.011183673
517,Alameda,SO2,Sun,14,0.010277778
518,Alameda,SO2,Sun,15,0.009722222
519,Alameda,SO2,Sun,16,0.009111111
520,Alameda,SO2,Sun,17,0.008472222
521,Alameda,SO2,Sun,18,0.008222222
522,Alameda,SO2,Sun,19,0.008027211
523,Alameda,SO2,Sun,20,0.007972789
524,Alameda,SO2,Sun,21,0.008054422
525,Alameda,SO2,Sun,22,0.008081633
526,Alameda,SO2,Sun,23,0.008136054
527,Alameda,SO2,Mon,0,0.008
528,Alameda,SO2,Mon,1,0.007863946
529,Alameda,SO2,Mon,2,0.007777778
530,Alameda,SO2,Mon,5,0.009416667
531,Alameda,SO2,Mon,6,0.00975
532,Alameda,SO2,Mon,7,0.011275362
533,Alameda,SO2,Mon,8,0.012388889
534,Alameda,SO2,Mon,9,0.013138889
535,Alameda,SO2,Mon,10,0.013555556
536,Alameda,SO2,Mon,11,0.013146667
537,Alameda,SO2,Mon,12,0.013006803
538,Alameda,SO2,Mon,13,0.013142857
539,Alameda,SO2,Mon,14,0.011210884
540,Alameda,SO2,Mon,15,0.011020408
541,Alameda,SO2,Mon,16,0.01075
542,Alameda,SO2,Mon,17,0.009833333
543,Alameda,SO2,Mon,18,0.009194444
544,Alameda,SO2,Mon,19,0.008944444
545,Alameda,SO2,Mon,20,0.008694444
546,Alameda,SO2,Mon,21,0.008527778
547,Alameda,SO2,Mon,22,0.008916667
548,Alameda,SO2,Mon,23,0.008944444
549,Alameda,SO2,Tue,0,0.008666667
550,Alameda,SO2,Tue,1,0.008611111
551,Alameda,SO2,Tue,2,0.008567376
552,Alameda,SO2,Tue,5,0.010416667
553,Alameda,SO2,Tue,6,0.010782609
554,Alameda,SO2,Tue,7,0.011536232
555,Alameda,SO2,Tue,8,0.013490196
556,Alameda,SO2,Tue,9,0.019482993
557,Alameda,SO2,Tue,10,0.019546667
558,Alameda,SO2,Tue,11,0.015035461
559,Alameda,SO2,Tue,12,0.013034014
560,Alameda,SO2,Tue,13,0.014297872
561,Alameda,SO2,Tue,14,0.013768707
562,Alameda,SO2,Tue,15,0.01477551
563,Alameda,SO2,Tue,16,0.012
564,Alameda,SO2,Tue,17,0.011673469
565,Alameda,SO2,Tue,18,0.011020408
566,Alameda,SO2,Tue,19,0.00955102
567,Alameda,SO2,Tue,20,0.009034014
568,Alameda,SO2,Tue,21,0.009115646
569,Alameda,SO2,Tue,22,0.00922449
570,Alameda,SO2,Tue,23,0.009170068
571,Alameda,SO2,Wed,0,0.008952381
572,Alameda,SO2,Wed,1,0.008734694
573,Alameda,SO2,Wed,2,0.008653061
574,Alameda,SO2,Wed,5,0.011694444
575,Alameda,SO2,Wed,6,0.013815603
576,Alameda,SO2,Wed,7,0.017565217
577,Alameda,SO2,Wed,8,0.021078014
578,Alameda,SO2,Wed,9,0.022156028
579,Alameda,SO2,Wed,10,0.022277778
